np,dist,gamma,dir.hor,dir.ver,id
23591,948.1233359067793,0.005133441574184715,0,0,var1
35872,2730.3825138079374,0.00541264776539566,0,0,var1
51397,4434.779878172376,0.00525261111688898,0,0,var1
50952,6189.870049773056,0.005322764488737945,0,0,var1
50680,7954.800261231623,0.005487847204040303,0,0,var1
45642,9657.856632205767,0.0054435928487765566,0,0,var1
44726,11501.909051925246,0.005720151326650592,0,0,var1
40325,13194.697957226675,0.005744026477376884,0,0,var1
35087,14998.67426774688,0.0058063473221867945,0,0,var1
37086,16793.17710465136,0.005545242343158336,0,0,var1
33189,18524.066521303357,0.005605519551170991,0,0,var1
33193,20329.58637658632,0.005657220179820574,0,0,var1
33939,22079.618046170635,0.0053084493959245594,0,0,var1
33783,23836.612246998902,0.005425600245610193,0,0,var1
31463,25573.911204890406,0.0052031915321536434,0,0,var1
